apk_path,package,label,apk_id
/home/ninini/Agents/APK-Research/new_samples/715cpa2.rr8kr.com.apk,sry.ftifdktrxlflbbc.vqcfmlxkcivlnrunpxpr,uTOtiV,715cpa2.rr8kr.com
/home/ninini/Agents/APK-Research/new_samples/712sl050.ptk2w.com.apk,yiq.sbksxrhndssjjsw.bipqrefshjdsn,NVjSBQ,712sl050.ptk2w.com
/home/ninini/Agents/APK-Research/new_samples/712c494.9zq18.com.apk,otx.xiblepaxyoyvkcbd.dvfdrwskyjfdairsh,MJvfLl,712c494.9zq18.com
/home/ninini/Agents/APK-Research/new_samples/714cpk19.0x8ls.com.apk,bnb.svgbuypvpqgw.ajtlualhjmxcirsosycr,IlEJrS,714cpk19.0x8ls.com
/home/ninini/Agents/APK-Research/new_samples/721b11.ah4cm.com.apk,pqbryplnk.tpoinebmpuyfbjih.nygctyse,qAtcRA,721b11.ah4cm.com
/home/ninini/Agents/APK-Research/new_samples/721yh366.0x8ls.com.apk,ekv.pnsjexcoyxaa.enkbtxqjwtgmtwtvrxba,hMYNnh,721yh366.0x8ls.com
/home/ninini/Agents/APK-Research/new_samples/711cpa6.hahh6.com.apk,tnh.sgguwcirjkdtgun.dhvcsihjvryrwopieksx,KuMKJX,711cpa6.hahh6.com
/home/ninini/Agents/APK-Research/new_samples/716c107.p1euq.com.apk,vsp.hlniebocatrryyve.ugmusqqyfhhjxenkc,rwLvFt,716c107.p1euq.com
/home/ninini/Agents/APK-Research/new_samples/719cpa8.ea4ym.com.apk,iow.myqwbygfuhgjoyu.xxykdjxcmoucbivjoesb,gUVwbw,719cpa8.ea4ym.com
/home/ninini/Agents/APK-Research/new_samples/711cpb01.t70qz.com.apk,bjh.hhgbpbvcfiy.pywrgeylnaebfhqt,vfUAWG,711cpb01.t70qz.com
/home/ninini/Agents/APK-Research/new_samples/719c88.9wl6g.com.apk,rvx.rdhrikbtrawwgbhs.yyubsounbotvfepwo,KzFSji,719c88.9wl6g.com
/home/ninini/Agents/APK-Research/new_samples/711a270.ko6qn.com.apk,kqstvjemx.ldrpgcikjxhyfhae.kmnlmlwr,DpuhoH,711a270.ko6qn.com
/home/ninini/Agents/APK-Research/new_samples/713yh61.y1ess.com.apk,wnk.ydxhrhdsyjgw.karrhpntigtkrsysanlx,TpSNlz,713yh61.y1ess.com
/home/ninini/Agents/APK-Research/new_samples/710c387.3gxzr.com.apk,vwe.cidkegcgijoxdwdf.nosvfcjktmsjkcbob,kBQhyI,710c387.3gxzr.com
/home/ninini/Agents/APK-Research/new_samples/721sl243.lj38t.com.apk,wte.qwydtoekjdtfure.mouhuqimbcwpt,oPbfNX,721sl243.lj38t.com
/home/ninini/Agents/APK-Research/new_samples/710yh458.6j75s.com.apk,gqv.ycwcjxedlipl.agolprpgwgbdqoxsjggq,dRmayd,710yh458.6j75s.com
/home/ninini/Agents/APK-Research/new_samples/711cpb15.gzz9n.com.apk,mmt.mcrwxfmhmeh.dtmwweexdkmyuamj,JvhXIV,711cpb15.gzz9n.com
